wave,date,weekday,1,2,3,4,5,6,jackpot_number_of_prize,jackpot_value_of_prize,first_number_of_prize,first_value_of_prize,second_number_of_prize,second_value_of_prize,third_number_of_prize,third_value_of_prize
#00224,2017-12-24,sunday,1,5,9,14,30,31,0,88529570000,66,10000000,2370,300000,42317,30000
#00223,2017-12-22,friday,9,13,17,22,26,33,0,80604750500,63,10000000,2609,300000,44289,30000
#00222,2017-12-20,wednesday,3,8,25,37,40,42,0,73379042500,56,10000000,2676,300000,42975,30000
#00221,2017-12-17,sunday,4,7,16,27,40,41,0,65963106000,35,10000000,2323,300000,37799,30000
#00220,2017-12-15,friday,13,14,17,24,28,43,0,58946980500,34,10000000,1964,300000,34965,30000
#00219,2017-12-13,wednesday,4,7,19,24,32,38,0,52263301500,53,10000000,2271,300000,36231,30000
#00218,2017-12-10,sunday,27,36,39,43,44,45,0,46141752000,60,10000000,1921,300000,31530,30000
#00217,2017-12-08,friday,2,11,15,32,40,44,0,40544388500,31,10000000,1961,300000,29879,30000
#00216,2017-12-06,wednesday,3,7,29,31,34,43,0,35307952000,47,10000000,1874,300000,29108,30000
#00215,2017-12-03,sunday,8,9,15,18,27,30,0,30094115000,43,10000000,1761,300000,29024,30000
#00214,2017-12-01,friday,10,19,30,35,39,45,0,27156006000,31,10000000,1578,300000,25357,30000
#00213,2017-11-29,wednesday,19,23,26,37,38,41,0,24686239000,25,10000000,1497,300000,25937,30000
#00212,2017-11-26,sunday,4,12,17,19,23,34,0,22050287500,28,10000000,1597,300000,25275,30000
#00211,2017-11-24,friday,14,24,32,34,36,45,0,19851922000,32,10000000,1294,300000,21783,30000
#00210,2017-11-22,wednesday,5,6,9,23,27,35,0,17737324500,39,10000000,1864,300000,27749,30000
#00209,2017-11-19,sunday,14,20,30,33,41,43,0,15922069000,15,10000000,935,300000,16512,30000
#00208,2017-11-17,friday,11,13,18,19,31,45,0,13915237000,17,10000000,1068,300000,18587,30000
#00207,2017-11-15,wednesday,1,9,15,27,33,43,1,20031482500,42,10000000,2024,300000,27601,30000
#00206,2017-11-12,sunday,22,26,37,40,42,44,0,17964388500,69,10000000,1416,300000,20775,30000
#00205,2017-11-10,friday,1,4,19,21,24,35,0,16076253000,30,10000000,1225,300000,20160,30000
#00204,2017-11-08,wednesday,1,18,23,24,40,41,0,14042946500,26,10000000,1056,300000,18214,30000
#00203,2017-11-05,sunday,3,17,38,39,41,44,1,39508281500,40,10000000,1633,300000,28531,30000
#00202,2017-11-03,friday,7,17,20,22,29,44,0,33963663500,29,10000000,1623,300000,27659,30000
#00201,2017-11-01,wednesday,4,12,25,39,42,44,0,28523607000,41,10000000,1776,300000,29321,30000
#00200,2017-10-29,sunday,1,5,28,31,44,45,0,23994411500,27,10000000,1562,300000,26325,30000
#00199,2017-10-27,friday,4,10,13,21,22,38,0,21223116500,33,10000000,1442,300000,24180,30000
#00198,2017-10-25,wednesday,12,17,23,25,34,38,0,18660832500,50,10000000,2054,300000,29260,30000
#00197,2017-10-22,sunday,8,14,16,17,31,42,0,16454311000,22,10000000,1262,300000,22398,30000
#00196,2017-10-20,friday,2,18,25,33,36,42,0,14044139000,25,10000000,1273,300000,20761,30000
#00195,2017-10-18,wednesday,16,24,32,36,37,40,1,49725546500,60,10000000,2641,300000,38500,30000
#00194,2017-10-15,sunday,2,9,14,21,35,40,0,43087021500,28,10000000,1886,300000,32544,30000
#00193,2017-10-13,friday,10,13,20,21,25,36,0,36463490000,49,10000000,2027,300000,35064,30000
#00192,2017-10-11,wednesday,4,11,14,15,19,26,0,30674931000,28,10000000,2170,300000,35660,30000
#00191,2017-10-08,sunday,8,16,24,27,35,39,0,24467091000,67,10000000,2186,300000,32852,30000
#00190,2017-10-06,friday,4,6,18,20,30,45,0,22039395000,38,10000000,1724,300000,27482,30000
#00189,2017-10-04,wednesday,4,5,9,19,37,44,0,19277233000,41,10000000,1958,300000,32108,30000
#00188,2017-10-01,sunday,8,23,27,36,37,43,0,16810782500,28,10000000,1465,300000,24788,30000
#00187,2017-09-29,friday,23,28,30,35,37,42,0,14386322000,20,10000000,1166,300000,20811,30000
#00186,2017-09-27,wednesday,10,19,33,34,35,45,1,112128144500,85,10000000,3964,300000,69922,30000
#00185,2017-09-24,sunday,4,10,11,31,36,39,0,97184052500,75,10000000,3098,300000,54245,30000
#00184,2017-09-22,friday,5,16,21,31,37,41,0,85794951000,53,10000000,2854,300000,48138,30000
#00183,2017-09-20,wednesday,5,7,13,17,23,33,0,76017619000,118,10000000,4414,300000,61483,30000
#00182,2017-09-17,sunday,6,11,15,16,37,40,0,67928383500,51,10000000,2363,300000,41385,30000
#00181,2017-09-15,friday,3,24,35,37,40,43,0,59876865000,35,10000000,2055,300000,35198,30000
#00180,2017-09-13,wednesday,3,8,19,35,38,40,0,52375807500,57,10000000,2568,300000,42364,30000
#00179,2017-09-10,sunday,1,22,23,35,36,42,0,45017827500,26,10000000,1889,300000,32963,30000
#00178,2017-09-08,friday,2,15,17,32,41,44,0,38078171000,40,10000000,1896,300000,31997,30000
#00177,2017-09-06,wednesday,5,20,24,32,36,42,0,32087827000,42,10000000,2041,300000,32436,30000
#00176,2017-09-03,sunday,5,6,26,28,35,43,0,27593130000,27,10000000,1886,300000,30351,30000
#00175,2017-09-01,friday,9,10,13,19,23,41,0,24806172500,39,10000000,2047,300000,32397,30000
#00174,2017-08-30,wednesday,5,8,11,28,35,41,0,22072526500,48,10000000,2129,300000,34967,30000
#00173,2017-08-27,sunday,3,7,16,32,36,39,0,19342630500,51,10000000,1798,300000,29749,30000
#00172,2017-08-25,friday,2,7,12,27,40,44,0,16843686500,28,10000000,1698,300000,26231,30000
#00171,2017-08-23,wednesday,6,25,27,34,42,43,0,14430230000,39,10000000,1571,300000,24680,30000
#00170,2017-08-20,sunday,5,15,18,21,37,45,1,20196533500,33,10000000,1813,300000,30582,30000
#00169,2017-08-18,friday,3,4,18,22,34,37,0,17211832000,33,10000000,1621,300000,25925,30000
#00168,2017-08-16,wednesday,6,11,15,19,22,41,0,14511266500,41,10000000,1793,300000,28451,30000
#00167,2017-08-13,sunday,1,3,6,7,16,18,1,24355032000,52,10000000,2375,300000,38090,30000
#00166,2017-08-11,friday,1,12,19,35,36,41,0,21279857000,39,10000000,1803,300000,30649,30000
#00165,2017-08-09,wednesday,11,19,22,24,25,31,0,18094934500,41,10000000,1884,300000,32403,30000
#00164,2017-08-06,sunday,2,9,10,11,21,43,0,14758481000,31,10000000,1750,300000,29465,30000
#00163,2017-08-04,friday,3,12,13,23,26,37,1,36385680000,62,10000000,3085,300000,48928,30000
#00162,2017-08-02,wednesday,7,10,17,26,28,43,0,31526653500,84,10000000,3137,300000,51265,30000
#00161,2017-07-30,sunday,8,17,24,35,41,44,0,27215847000,50,10000000,2998,300000,44299,30000
#00160,2017-07-28,friday,1,4,9,26,35,39,0,22841331000,50,10000000,2547,300000,41798,30000
#00159,2017-07-26,wednesday,9,26,27,30,40,44,0,18997393000,40,10000000,2089,300000,36769,30000
#00158,2017-07-23,sunday,7,9,13,21,28,39,0,14699647500,54,10000000,2214,300000,35056,30000
#00157,2017-07-21,friday,5,6,9,15,19,32,2,14103027500,64,10000000,2640,300000,38817,30000
#00156,2017-07-19,wednesday,4,7,13,20,35,44,1,131916845500,155,10000000,8178,300000,135526,30000
#00155,2017-07-16,sunday,2,10,27,29,37,39,0,107310536500,112,10000000,5224,300000,89502,30000
#00154,2017-07-14,friday,2,13,19,24,25,33,0,89529309000,117,10000000,5580,300000,85618,30000
#00153,2017-07-12,wednesday,5,9,14,15,26,42,0,75739875000,111,10000000,4789,300000,79849,30000
#00152,2017-07-09,sunday,1,9,14,18,25,28,0,62125331000,72,10000000,3814,300000,62587,30000
#00151,2017-07-07,friday,4,19,22,30,34,35,0,51353669500,55,10000000,2490,300000,45314,30000
#00150,2017-07-05,wednesday,1,4,16,31,37,40,0,41307196000,49,10000000,2516,300000,43669,30000
#00149,2017-07-02,sunday,1,5,7,16,19,44,0,31480779500,51,10000000,2578,300000,43348,30000
#00148,2017-06-30,friday,1,7,10,38,40,42,0,26077564500,34,10000000,1973,300000,34268,30000
#00147,2017-06-28,wednesday,2,6,21,28,39,40,0,22045991000,54,10000000,2319,300000,39937,30000
#00146,2017-06-25,sunday,3,14,33,38,42,44,0,18213880500,32,10000000,1846,300000,30330,30000
#00145,2017-06-23,friday,9,10,21,37,40,42,0,14933472500,18,10000000,1414,300000,23449,30000
#00144,2017-06-21,wednesday,9,26,29,30,35,37,1,21487564000,33,10000000,2021,300000,37727,30000
#00143,2017-06-18,sunday,2,8,12,14,16,26,0,17199957500,74,10000000,2682,300000,40018,30000
#00142,2017-06-16,friday,6,10,17,21,27,38,0,14665599500,44,10000000,1879,300000,31706,30000
#00141,2017-06-14,wednesday,5,8,15,25,31,35,1,82060579000,162,10000000,6375,300000,89284,30000
#00140,2017-06-11,sunday,5,6,11,14,32,33,0,68224154000,91,10000000,4313,300000,72695,30000
#00139,2017-06-09,friday,7,15,19,24,32,42,0,56519820000,91,10000000,3882,300000,61455,30000
#00138,2017-06-07,wednesday,5,6,13,29,35,44,0,46118017000,62,10000000,3283,300000,56991,30000
#00137,2017-06-04,sunday,1,9,23,32,34,35,0,35585407000,30,10000000,2441,300000,43688,30000
#00136,2017-06-02,friday,5,13,16,32,39,41,0,26998153000,65,10000000,2498,300000,40557,30000
#00135,2017-05-31,wednesday,7,13,16,30,37,44,0,22304986000,32,10000000,2103,300000,37028,30000
#00134,2017-05-28,sunday,2,7,17,24,31,44,0,17885440000,59,10000000,2123,300000,35085,30000
#00133,2017-05-26,friday,6,8,25,39,40,45,0,14713507000,54,10000000,1901,300000,29655,30000
#00132,2017-05-24,wednesday,8,20,25,27,30,33,1,112477419000,136,10000000,7024,300000,127123,30000
#00131,2017-05-21,sunday,11,14,17,22,27,42,0,86669528000,116,10000000,5190,300000,85810,30000
#00130,2017-05-19,friday,1,8,18,28,30,33,0,69744001500,103,10000000,4302,300000,69615,30000
#00129,2017-05-17,wednesday,7,8,11,18,23,42,0,55971817000,81,10000000,4579,300000,74518,30000
#00128,2017-05-14,sunday,13,15,17,21,25,40,0,43072266500,83,10000000,3547,300000,53386,30000
#00127,2017-05-12,friday,1,27,35,42,43,45,0,33883918000,50,10000000,2152,300000,36291,30000
#00126,2017-05-10,wednesday,7,17,21,29,40,44,0,25768903500,33,10000000,2117,300000,38551,30000
#00125,2017-05-07,sunday,1,7,28,32,44,45,0,21030978000,41,10000000,1936,300000,33806,30000
#00124,2017-05-05,friday,4,9,12,32,36,43,0,17450444500,41,10000000,2044,300000,31965,30000
#00123,2017-05-03,wednesday,3,19,20,21,25,45,0,14671443000,41,10000000,1699,300000,28842,30000
#00122,2017-04-30,sunday,2,6,8,11,12,25,1,37930392500,117,10000000,4183,300000,56100,30000
#00121,2017-04-28,friday,2,9,11,12,15,23,0,30392235000,123,10000000,4317,300000,60073,30000
#00120,2017-04-26,wednesday,14,16,17,20,35,39,0,27142731500,48,10000000,2522,300000,43316,30000
#00119,2017-04-23,sunday,13,17,22,30,31,43,0,22460863000,38,10000000,2212,300000,36734,30000
#00118,2017-04-21,friday,7,8,15,30,32,39,0,18574303000,18,10000000,1756,300000,31176,30000
#00117,2017-04-19,wednesday,19,20,32,33,38,44,0,15289489000,23,10000000,1558,300000,27221,30000
#00116,2017-04-16,sunday,6,7,18,29,32,44,2,21551860500,70,10000000,2555,300000,38962,30000
#00115,2017-04-14,friday,4,5,10,33,36,38,0,18396351500,32,10000000,1755,300000,31477,30000
#00114,2017-04-12,wednesday,2,3,8,13,19,41,0,15061131500,49,10000000,1927,300000,34385,30000
#00113,2017-04-09,sunday,5,8,21,25,26,37,1,23260825500,33,10000000,2404,300000,42322,30000
#00112,2017-04-07,friday,4,5,16,17,32,40,0,19215805000,27,10000000,1994,300000,33306,30000
#00111,2017-04-05,wednesday,13,14,20,21,23,33,0,15738450500,27,10000000,1967,300000,33816,30000
#00110,2017-04-02,sunday,3,5,7,12,27,33,1,27757861500,76,10000000,3468,300000,53130,30000
#00109,2017-03-31,friday,1,4,5,11,20,30,0,22599497500,62,10000000,2550,300000,38437,30000
#00108,2017-03-29,wednesday,4,5,24,26,28,37,0,18913358000,41,10000000,2931,300000,45338,30000
#00107,2017-03-26,sunday,6,12,23,25,29,43,0,14932069000,48,10000000,2467,300000,39046,30000
#00106,2017-03-24,friday,10,14,30,32,37,42,1,24369075000,56,10000000,2182,300000,38591,30000
#00105,2017-03-22,wednesday,1,9,24,28,33,36,0,20053374000,48,10000000,2734,300000,45501,30000
#00104,2017-03-19,sunday,1,2,6,12,31,36,0,15514249500,43,10000000,2168,300000,36379,30000
#00103,2017-03-17,friday,7,12,24,43,44,45,1,43029075000,56,10000000,3008,300000,53995,30000
#00102,2017-03-15,wednesday,3,9,10,31,32,40,0,32528800000,74,10000000,3105,300000,54469,30000
#00101,2017-03-12,sunday,6,11,30,32,35,42,0,25751732000,52,10000000,2581,300000,45027,30000
#00100,2017-03-10,friday,4,9,21,27,38,44,0,20691602500,43,10000000,2323,300000,40260,30000
#00099,2017-03-08,wednesday,5,11,14,20,32,42,0,16235308500,67,10000000,2614,300000,45495,30000
#00098,2017-03-05,sunday,18,21,24,26,39,45,2,20208845500,55,10000000,2695,300000,44111,30000
#00097,2017-03-03,friday,2,4,13,22,23,41,0,15908249000,56,10000000,2380,300000,39367,30000
#00096,2017-03-01,wednesday,3,4,26,30,35,44,1,41241151500,71,10000000,3348,300000,58591,30000
#00095,2017-02-26,thursday,7,11,16,19,38,39,0,28881350000,71,10000000,3839,300000,59545,30000
#00094,2017-02-24,tuesday,2,4,19,23,44,45,0,22067968000,44,10000000,2933,300000,49304,30000
#00093,2017-02-22,sunday,1,3,8,18,28,42,0,17094590500,52,10000000,3267,300000,52020,30000
#00092,2017-02-19,thursday,1,17,24,25,33,35,1,41655369000,81,10000000,3669,300000,62482,30000
#00091,2017-02-17,tuesday,12,15,25,27,37,41,0,30113481000,86,10000000,4144,300000,62854,30000
#00090,2017-02-15,sunday,4,16,19,27,29,30,0,22068008000,81,10000000,4306,300000,64569,30000
#00089,2017-02-12,thursday,4,6,12,21,23,28,0,16293746000,74,10000000,3384,300000,53287,30000
#00088,2017-02-10,tuesday,2,6,10,13,20,28,1,31054352000,122,10000000,4354,300000,65488,30000
#00087,2017-02-08,sunday,15,26,29,32,34,38,0,23731260500,110,10000000,4559,300000,71916,30000
#00086,2017-02-05,thursday,1,11,26,29,34,40,0,17097119000,49,10000000,2736,300000,46235,30000
#00085,2017-02-03,tuesday,8,17,31,32,33,39,1,22224383000,78,10000000,3313,300000,55942,30000
#00084,2017-02-01,sunday,2,10,11,18,22,33,0,16621416500,75,10000000,3383,300000,52194,30000
#00083,2017-01-29,friday,5,13,21,27,29,45,1,75850074500,145,10000000,6399,300000,101133,30000
#00082,2017-01-25,monday,6,9,14,18,28,30,0,59055061500,123,10000000,5537,300000,89125,30000
#00081,2017-01-22,friday,1,20,21,22,26,29,0,44064415000,68,10000000,3641,300000,62334,30000
#00080,2017-01-20,wednesday,1,11,31,32,34,37,0,31062333000,74,10000000,3419,300000,58607,30000
#00079,2017-01-18,monday,11,22,26,28,35,43,0,24189181500,97,10000000,4861,300000,77375,30000
#00078,2017-01-15,friday,5,25,27,29,31,43,0,17152877000,115,10000000,4520,300000,65295,30000
#00077,2017-01-13,wednesday,12,24,29,32,37,39,1,17491608500,100,10000000,4117,300000,62391,30000
#00076,2017-01-11,monday,2,8,21,29,37,45,1,28747032500,107,10000000,4412,300000,76356,30000
#00075,2017-01-08,friday,12,18,29,32,39,45,0,18718983500,74,10000000,3893,300000,67251,30000
#00074,2017-01-06,wednesday,22,30,34,36,43,45,1,30531270500,87,10000000,4203,300000,72269,30000
#00073,2017-01-04,monday,4,19,25,27,29,31,0,20148356500,95,10000000,5251,300000,87141,30000
#00072,2017-01-01,friday,9,18,24,33,36,39,1,48794185000,158,10000000,6287,300000,93921,30000
#00071,2016-12-30,friday,7,23,27,29,35,37,0,33158297500,101,10000000,5458,300000,86880,30000
#00070,2016-12-28,wednesday,2,22,25,33,38,43,0,21524698500,103,10000000,5767,300000,95614,30000
#00069,2016-12-25,sunday,5,12,20,29,34,36,2,159232985000,196,10000000,10127,300000,176792,30000
#00068,2016-12-23,friday,1,17,24,25,37,43,0,126099475000,160,10000000,8884,300000,151358,30000
#00067,2016-12-21,wednesday,3,6,12,14,18,40,0,98384793500,151,10000000,8092,300000,138149,30000
#00066,2016-12-18,sunday,3,7,30,32,41,43,0,73843316500,85,10000000,4495,300000,76179,30000
#00065,2016-12-16,friday,5,8,33,34,39,44,0,57376762500,95,10000000,4340,300000,71908,30000
#00064,2016-12-14,wednesday,5,6,12,16,26,30,0,42627154000,112,10000000,6196,300000,97449,30000
#00063,2016-12-11,sunday,2,3,4,5,22,24,0,26567247500,130,10000000,5253,300000,76756,30000
#00062,2016-12-09,friday,11,12,15,17,21,26,0,18528083000,102,10000000,5292,300000,83781,30000
#00061,2016-12-07,wednesday,13,23,27,28,32,45,1,69582180000,169,10000000,6539,300000,113471,30000
#00060,2016-12-04,sunday,3,5,13,27,38,44,0,49357581000,119,10000000,5137,300000,85135,30000
#00059,2016-12-02,friday,17,26,33,34,37,42,0,34053459000,95,10000000,4740,300000,78792,30000
#00058,2016-11-30,wednesday,6,15,17,20,23,41,0,21722316000,128,10000000,6151,300000,103216,30000
#00057,2016-11-27,sunday,12,16,17,18,22,30,1,54886916500,110,10000000,5613,300000,94353,30000
#00056,2016-11-25,friday,3,4,25,31,37,40,0,37849277000,95,10000000,5266,300000,87124,30000
#00055,2016-11-23,wednesday,2,22,23,24,28,37,0,22673898000,137,10000000,6685,300000,111913,30000
#00054,2016-11-20,sunday,9,23,33,38,41,42,1,56100126000,129,10000000,5555,300000,93293,30000
#00053,2016-11-18,friday,11,12,16,24,26,31,0,38611602000,120,10000000,6130,300000,101233,30000
#00052,2016-11-16,wednesday,1,9,17,28,43,44,0,23092467000,131,10000000,6483,300000,109092,30000
#00051,2016-11-13,sunday,11,23,25,34,36,45,1,71066641000,128,10000000,5554,300000,87443,30000
#00050,2016-11-11,friday,10,17,22,23,30,36,0,54743403000,90,10000000,4637,300000,79638,30000
#00049,2016-11-09,wednesday,2,10,14,24,25,30,0,38977855000,111,10000000,5563,300000,93158,30000
#00048,2016-11-06,sunday,4,15,16,20,26,41,0,23252753000,79,10000000,3581,300000,61079,30000
#00047,2016-11-04,friday,5,13,22,24,28,32,0,17235306000,69,10000000,3393,300000,56670,30000
#00046,2016-11-02,wednesday,3,5,8,10,13,22,1,64808542500,79,10000000,4255,300000,66894,30000
#00045,2016-10-30,sunday,7,12,25,28,40,44,0,52703398000,72,10000000,3160,300000,53369,30000
#00044,2016-10-28,friday,10,11,13,14,16,38,0,42928404000,47,10000000,3437,300000,56659,30000
#00043,2016-10-26,wednesday,1,8,16,18,21,28,0,32312328000,105,10000000,4120,300000,69563,30000
#00042,2016-10-23,sunday,2,5,12,21,22,40,0,22362082500,51,10000000,2505,300000,42746,30000
#00041,2016-10-21,friday,16,17,30,32,34,38,0,17842703500,44,10000000,1913,300000,31209,30000
#00040,2016-10-19,wednesday,2,13,15,17,18,41,0,14659178500,26,10000000,1506,300000,25582,30000
#00039,2016-10-16,sunday,5,21,31,33,38,42,1,92030182500,17,10000000,1178,300000,20388,30000
#00038,2016-10-14,friday,3,7,9,18,28,39,0,87558225500,66,10000000,2445,300000,30221,30000
#00037,2016-10-12,wednesday,2,8,15,16,19,25,0,84060767000,49,10000000,2076,300000,30595,30000
#00036,2016-10-09,sunday,2,15,20,32,33,44,0,79596879500,21,10000000,1201,300000,20344,30000
#00035,2016-10-07,friday,24,25,27,34,44,45,0,75539052000,20,10000000,1048,300000,17134,30000
#00034,2016-10-05,wednesday,5,6,19,31,42,44,0,71430098000,21,10000000,1106,300000,20845,30000
#00033,2016-10-02,sunday,16,23,27,34,35,38,0,67219887000,44,10000000,1317,300000,18578,30000
#00032,2016-09-30,friday,6,20,30,38,40,45,0,64193390500,14,10000000,957,300000,14569,30000
#00031,2016-09-28,wednesday,3,6,17,21,32,40,0,60841799500,26,10000000,1107,300000,19336,30000
#00030,2016-09-25,sunday,1,20,28,32,42,44,0,57057357500,13,10000000,730,300000,14744,30000
#00029,2016-09-23,friday,8,14,19,29,30,40,0,53733170500,24,10000000,1012,300000,15853,30000
#00028,2016-09-21,wednesday,5,12,15,30,37,41,0,50637656500,17,10000000,951,300000,16757,30000
#00027,2016-09-18,sunday,7,10,17,20,25,32,0,47104438000,22,10000000,1009,300000,15864,30000
#00026,2016-09-16,friday,4,5,6,23,31,34,0,44453054500,12,10000000,673,300000,12773,30000
#00025,2016-09-14,wednesday,2,11,14,23,25,32,0,41528788000,36,10000000,1363,300000,19385,30000
#00024,2016-09-11,sunday,6,9,10,18,20,31,0,38971774000,13,10000000,846,300000,13890,30000
#00023,2016-09-09,friday,7,13,16,18,31,32,0,36597883000,24,10000000,813,300000,14666,30000
#00022,2016-09-07,wednesday,6,8,12,13,15,19,0,34202887000,43,10000000,1214,300000,17170,30000
#00021,2016-09-04,sunday,11,15,20,24,27,45,0,32087986000,7,10000000,635,300000,10382,30000
#00020,2016-09-02,friday,9,13,24,35,36,41,0,29958428500,17,10000000,649,300000,11459,30000
#00019,2016-08-31,wednesday,8,20,21,31,34,39,0,27868784500,18,10000000,613,300000,11047,30000
#00018,2016-08-28,sunday,4,6,10,15,16,44,0,25624053000,9,10000000,474,300000,9099,30000
#00017,2016-08-26,friday,10,36,39,43,44,45,0,24214106500,12,10000000,371,300000,7733,30000
#00016,2016-08-24,wednesday,8,17,21,23,36,40,0,23139377500,15,10000000,599,300000,10625,30000
#00015,2016-08-21,sunday,13,21,24,25,29,44,0,21982877500,5,10000000,569,300000,9629,30000
#00014,2016-08-19,friday,11,12,17,33,34,36,0,21032293000,15,10000000,608,300000,10440,30000
#00013,2016-08-17,wednesday,2,4,9,19,21,26,0,20253396500,8,10000000,673,300000,10472,30000
#00012,2016-08-14,sunday,13,16,17,29,31,37,0,19290861000,26,10000000,902,300000,10113,30000
#00011,2016-08-12,friday,28,31,34,37,38,41,0,18841509500,6,10000000,350,300000,6440,30000
#00010,2016-08-10,wednesday,6,15,16,19,27,30,0,17952978000,9,10000000,557,300000,9195,30000
#00009,2016-08-07,sunday,3,5,17,22,30,31,0,17164580000,6,10000000,351,300000,5788,30000
#00008,2016-08-05,friday,3,9,13,18,24,31,0,16409266000,9,10000000,513,300000,8032,30000
#00007,2016-08-03,wednesday,7,10,25,27,29,40,0,15791342500,12,10000000,496,300000,7254,30000
#00006,2016-07-31,sunday,2,6,19,21,35,39,0,15121387000,5,10000000,446,300000,7000,30000
#00005,2016-07-29,friday,3,8,13,20,30,36,0,14565346500,5,10000000,310,300000,5170,30000
#00004,2016-07-27,wednesday,14,17,21,25,31,37,0,13942033000,5,10000000,333,300000,5431,30000
#00003,2016-07-24,sunday,1,10,16,18,23,38,0,13271044500,5,10000000,323,300000,5182,30000
#00002,2016-07-22,friday,3,4,14,20,25,35,0,12858704500,1,10000000,148,300000,3276,30000
#00001,2016-07-20,wednesday,2,17,33,37,38,45,0,12357724500,3,10000000,222,300000,4242,30000
